date_pm25,time_pm25,PM25,PM10,AQI_PM25,AQI_PM10,AQI_US
2023-10-28,16:00:00,62.3,79.0,154.51106427818758,62.878787878787875,154.51106427818758
2023-10-28,17:00:00,53.4,71.3,145.0753768844221,59.067676767676765,145.0753768844221
2023-10-28,18:00:00,52.8,70.59,143.59798994974875,58.716262626262626,143.59798994974875
2023-10-28,19:00:00,60.35,76.65,153.50421496311907,61.71565656565657,153.50421496311907
2023-10-28,20:00:00,62.25,77.09,154.48524762908323,61.93343434343434,154.48524762908323
2023-10-28,21:00:00,70.9,91.25,158.95152792413066,68.9419191919192,158.95152792413066
2023-10-28,22:00:00,66.2,82.1,156.52476290832456,64.41313131313132,156.52476290832456
2023-10-28,23:00:00,76.3,90.7,161.73972602739727,68.66969696969697,161.73972602739727
2023-10-29,00:00:00,89.15,106.2,168.3746048472076,76.34141414141415,168.3746048472076
2023-10-29,01:00:00,76.7,90.1,161.94625922023184,68.37272727272727,161.94625922023184
2023-10-29,02:00:00,70.2,84.0,158.59009483667018,65.35353535353535,158.59009483667018
2023-10-29,03:00:00,41.15,52.0,114.91206030150754,48.148148148148145,114.91206030150754
2023-10-29,04:00:00,46.8,61.05,128.82412060301507,53.99444444444444,128.82412060301507
2023-10-29,05:00:00,43.6,56.6,120.94472361809045,51.79191919191919,120.94472361809045
2023-10-29,06:00:00,41.6,52.9,116.02010050251256,48.98148148148148,116.02010050251256
2023-10-29,07:00:00,34.0,41.65,97.05579399141632,38.56481481481482,97.05579399141632
2023-10-29,08:00:00,32.75,39.9,94.42703862660944,36.94444444444444,94.42703862660944
2023-10-29,09:00:00,33.1,41.6,95.16309012875537,38.51851851851852,95.16309012875537
2023-10-29,10:00:00,34.54,45.25,98.19141630901288,41.898148148148145,98.19141630901288
2023-10-29,11:00:00,36.9,47.65,104.44723618090453,44.12037037037037,104.44723618090453
2023-10-29,12:00:00,37.45,48.0,105.80150753768845,44.44444444444444,105.80150753768845
2023-10-29,13:00:00,44.9,59.9,124.14572864321607,53.425252525252525,124.14572864321607
2023-10-29,14:00:00,50.8,68.5,138.67336683417085,57.68181818181818,138.67336683417085
2023-10-29,15:00:00,50.45,68.59,137.81155778894473,57.72636363636364,137.81155778894473
2023-10-29,16:00:00,51.45,70.8,140.27386934673368,58.82020202020202,140.27386934673368
2023-10-29,17:00:00,51.85,69.0,141.25879396984925,57.92929292929293,141.25879396984925
2023-10-29,18:00:00,54.35,72.8,147.4145728643216,59.81010101010101,147.4145728643216
